iter	RMSE
0	15.00758229
1	14.16711093
2	13.48566506
3	12.77618312
4	12.16352498
5	11.49931505
6	11.03194409
7	10.60211177
8	10.2174615
9	9.817477191
10	9.361318532
11	8.98948442
12	8.663599452
13	8.41489027
14	8.117654892
15	7.897812478
16	7.645792353
17	7.377771496
18	7.187481638
19	6.964821099
20	6.804316582
21	6.657891664
22	6.488821113
23	6.359750175
24	6.238061178
25	6.151033675
26	6.038479623
27	5.936238438
28	5.8456006
29	5.737686896
30	5.659194723
31	5.58738397
32	5.507729433
33	5.450817922
34	5.387058251
35	5.328986118
36	5.265411028
37	5.192831073
38	5.14250658
39	5.092689255
40	5.048649435
41	5.012450652
42	4.940703301
43	4.905737875
44	4.85102905
45	4.802231071
46	4.75889769
47	4.71003427
48	4.678119441
49	4.656299575
50	4.615654342
51	4.576649143
52	4.546696316
53	4.511208816
54	4.47117809
55	4.446859918
56	4.416572951
57	4.397281594
58	4.352635313
59	4.322362721
60	4.295192405
61	4.267004296
62	4.245843368
63	4.218336241
64	4.172337945
65	4.144919695
66	4.112943118
67	4.090063308
68	4.068095008
69	4.043827311
70	4.019026387
71	4.006265834
72	3.976316683
73	3.951833528
74	3.93839902
75	3.914100335
76	3.880254992
77	3.879287517
78	3.866877753
79	3.852891352
80	3.823505377
81	3.805833218
82	3.786881046
83	3.763806981
84	3.739882148
85	3.725463411
86	3.709937447
87	3.693327464
88	3.683657114
89	3.662972839
90	3.652354234
91	3.63538258
92	3.61306987
93	3.598886851
94	3.591626364
95	3.581942952
96	3.564583224
97	3.544354217
98	3.524398658
99	3.50074282
