iter	Passed	Remaining
0	1	138
1	2	119
2	3	115
3	4	113
4	5	109
5	6	107
6	7	106
7	8	103
8	10	101
9	11	99
10	12	99
11	13	98
12	14	98
13	15	96
14	16	95
15	17	94
16	19	93
17	20	92
18	21	91
19	22	89
20	23	88
21	24	87
22	25	85
23	26	84
24	27	83
25	28	82
26	29	80
27	31	79
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	71
35	40	71
36	41	70
37	42	68
38	43	67
39	44	66
40	45	65
41	46	64
42	48	63
43	49	62
44	50	61
45	51	60
46	53	60
47	54	59
48	55	57
49	56	56
50	57	55
51	58	54
52	60	53
53	61	52
54	62	51
55	63	50
56	65	49
57	66	47
58	67	46
59	68	45
60	69	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	38
66	76	37
67	77	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	86	27
76	88	26
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	95	18
84	96	16
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	111	1
99	112	0
